id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757940104,553718,5250.0,0,False,17,1171,4,2,1,28,36,36,7902,47,4069,51,0,1,0,0,0,0,0,1,1
3757940025,2192142,7085.416666666666,0,False,135,300,5,4,1,23,24,36,17409,37,5744,51,0,1,0,0,0,0,0,1,1
3757938019,474443,6776.0,0,False,147,314,5,4,1,27,36,36,10184,6,9391,51,0,1,0,0,0,0,0,1,1
3757938018,18213359,3919.52,0,False,100,36,2,2,1,23,24,36,4043,52,3044,51,0,1,0,0,0,0,0,1,1
3757937095,437225,14791.666666666664,0,True,27,1260,5,4,1,34,36,36,12807,61,10336,51,0,1,0,0,0,0,0,1,1
3757937095,437225,14791.666666666664,0,True,25,1260,5,4,1,34,36,36,12807,46,10336,51,0,1,0,0,0,0,0,1,1
3757937095,437225,14791.666666666664,0,True,6,1260,5,4,1,34,36,36,12807,66,10336,51,0,1,0,0,0,0,0,1,1
3757937037,13727,7708.333333333333,0,True,17,5394,5,4,1,21,22,36,19310,47,10208,51,0,1,0,0,0,0,0,1,1
3757936167,2915,3647.6,0,False,27,4039,2,4,1,21,22,36,300,61,287,51,0,1,0,0,0,0,0,1,1
3757936097,18213359,3396.8,0,False,100,36,2,2,1,23,24,36,5489,52,3044,51,0,1,0,0,0,0,0,1,1
3757936026,634806,7500.0,12,True,104,23,2,2,2,7,36,36,8610,65,7763,51,1,0,0,0,0,0,0,1,1
3757935111,2073870,9166.666666666666,0,True,96,20277,5,6,1,34,36,36,4713,35,681,51,0,1,0,0,0,0,0,1,1
3757935026,16223627,6778.64,0,False,14,26,2,2,1,31,36,36,11259,33,325,51,1,0,0,0,0,0,0,1,1
