id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3697364520,1056303.0,7500.0,12.0,0.0,47.0,2008.0,5,3,3,30,36,36,2345,1648,10,0,1,0,0,0,0,0,1,1,1
3694116856,2859.0,5720.0,0.0,0.0,47.0,10657.0,2,1,1,20,30,36,18377,966,51,0,1,0,0,0,0,0,1,1,1
3757919581,2238.0,7291.666666666667,0.0,0.0,47.0,25512.5,5,4,3,20,34,8,8250,2522,19,0,1,0,0,0,0,0,1,1,1
3757494888,3217283.0,7500.0,0.0,0.0,47.0,6.0,5,4,1,30,20,36,12592,8440,51,0,1,0,0,0,0,0,1,1,1
3701318985,777243.0,7500.0,12.5,0.0,47.0,329.0,5,3,3,20,19,26,3339,788,51,0,1,0,0,0,0,0,1,1,1
3693046595,232394.0,10416.666666666666,2.0,0.0,47.0,86.0,5,4,3,30,20,36,1766,1353,20,0,1,0,0,0,0,0,1,1,1
3757457547,28745.0,7500.0,0.0,0.0,47.0,636.0,5,3,3,35,36,36,18933,4886,51,0,1,0,0,0,0,0,1,1,1
3757774515,2908367.0,6250.0,9.0,0.0,47.0,1849.0,5,2,2,30,20,36,624,10315,51,0,1,0,0,0,0,0,1,1,1
3755593235,11259124.0,3432.0,1.0,0.0,47.0,29.0,2,2,3,30,20,28,2296,4679,51,0,1,0,0,0,0,0,1,1,1
3694112396,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3757745854,248184.0,7708.333333333333,2.0,0.0,47.0,763.0,5,3,3,30,36,36,16021,2346,51,0,1,0,0,0,0,0,1,1,1
3694111606,3743.0,7500.0,0.0,0.0,47.0,17859.0,5,4,1,30,20,36,6612,7315,51,0,1,0,0,0,0,0,1,1,1
3694103127,3741.0,8125.0,2.0,0.0,47.0,17667.0,5,4,3,30,36,36,16236,5002,51,0,1,0,0,0,0,0,1,1,1
3757731544,139626.0,9583.333333333334,1.0,1.0,47.0,74.0,5,4,1,34,29,36,16972,490,51,0,1,0,0,0,0,0,1,1,1
3699403960,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,2,1,20,21,36,6785,6950,51,0,1,0,0,0,0,0,1,1,1
