id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,singkatan_kemampuanencoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_terformat_encoded,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757934281,2238,9958.333333333334,0,False,47,26799,5,4,2,5,15597,2333,18,2,1,1,1
3757934281,2238,9958.333333333334,0,False,47,26799,5,4,2,25,15597,2333,18,2,1,1,1
3757934281,2238,9958.333333333334,0,False,47,26799,5,4,2,23,15597,2333,18,2,1,1,1
3757929899,2238,9958.333333333334,0,False,47,26799,5,4,2,15,15147,2333,18,2,1,1,1
3757929899,2238,9958.333333333334,0,False,47,26799,5,4,2,23,15147,2333,18,2,1,1,1
3757929899,2238,9958.333333333334,0,False,47,26799,5,4,2,1,15147,2333,18,2,1,1,1
3757929719,2238,7291.666666666667,5,False,47,26799,5,4,2,8,9525,2333,18,2,1,1,1
3757929719,2238,7291.666666666667,5,False,47,26799,5,4,2,25,9525,2333,18,2,1,1,1
3757929719,2238,7291.666666666667,5,False,47,26799,5,4,2,3,9525,2333,18,2,1,1,1
3757919581,2238,7291.666666666667,0,False,47,26799,5,4,3,20,7688,2333,18,2,1,1,1
3757919581,2238,7291.666666666667,0,False,47,26799,5,4,3,34,7688,2333,18,2,1,1,1
3757919581,2238,7291.666666666667,0,False,47,26799,5,4,3,8,7688,2333,18,2,1,1,1
3757916086,2437248,7500.0,0,False,47,8682,2,1,1,30,1715,1398,48,5,1,1,1
3757916086,2437248,7500.0,0,False,47,8682,2,1,1,20,1715,1398,48,5,1,1,1
3757909739,2908367,5833.333333333333,0,False,47,1849,5,4,1,30,17765,9438,48,2,1,1,1
3757909739,2908367,5833.333333333333,0,False,47,1849,5,4,1,20,17765,9438,48,2,1,1,1
3757906424,79098,3520.0,0,False,47,185,2,2,1,27,6477,463,48,1,1,1,1
3757906424,79098,3520.0,0,False,47,185,2,2,1,34,6477,463,48,1,1,1,1
3757903602,79098,9916.666666666666,7,True,47,185,5,2,2,34,4345,463,48,1,1,1,1
3757902845,79098,8750.0,1,False,47,185,5,4,1,34,15483,463,48,2,1,1,1
3757901911,79098,3960.0,0,False,47,185,2,2,1,30,3428,463,48,1,1,1,1
3757901911,79098,3960.0,0,False,47,185,2,2,1,20,3428,463,48,1,1,1,1
3757791152,5507,7500.0,0,False,47,8996,5,4,1,30,8163,2193,48,2,1,1,1
3757791152,5507,7500.0,0,False,47,8996,5,4,1,20,8163,2193,48,2,1,1,1
3757780977,5507,7500.0,0,False,47,8996,5,4,1,31,8411,2193,48,2,1,1,1
3757774515,2908367,6250.0,9,False,47,1849,5,2,2,30,593,9438,48,2,1,1,1
3757774515,2908367,6250.0,9,False,47,1849,5,2,2,20,593,9438,48,2,1,1,1
3757755445,76795474,9583.333333333334,1,False,47,7,5,4,3,30,17722,3186,48,2,1,1,1
3757751973,37520,3080.0,4,False,47,212,2,4,1,30,547,8210,48,2,1,1,1
3757751398,777243,7.083333333333333,1,False,47,329,5,4,3,30,589,723,48,2,1,1,1
3757749165,248184,6666.666666666667,2,False,47,763,5,3,3,30,14985,2167,48,2,1,1,1
3757748599,777243,6.666666666666667,0,False,47,329,5,3,3,20,17091,723,48,2,1,1,1
3757748599,777243,6.666666666666667,0,False,47,329,5,3,3,30,17091,723,48,2,1,1,1
3757748599,777243,6.666666666666667,0,False,47,329,5,3,3,35,17091,723,48,2,1,1,1
3757748481,248184,6041.666666666667,2,False,47,763,5,3,3,30,17091,2167,48,2,1,1,1
3757747549,248184,7083.333333333333,0,False,47,763,5,3,3,30,14985,2167,48,2,1,1,1
3757747500,482238,7500.0,13,True,47,143,5,4,3,30,7599,7907,48,2,1,1,1
3757746018,10917983,10000.0,1,False,47,11,5,4,2,30,17478,2898,48,2,1,1,1
3757745854,248184,7708.333333333333,2,False,47,763,5,3,3,30,14985,2167,48,2,1,1,1
3757744890,16164204,8958.333333333334,0,True,47,14,5,4,3,20,6788,2064,1,2,1,1,1
3757744890,16164204,8958.333333333334,0,True,47,14,5,4,3,30,6788,2064,1,2,1,1,1
3757744890,16164204,8958.333333333334,0,True,47,14,5,4,3,19,6788,2064,1,2,1,1,1
3757744454,7260,3872.0,1,False,47,1218,2,3,3,35,4284,8667,48,2,1,1,1
3757744197,120393,5916.666666666667,1,False,47,1476,5,2,1,35,2413,6067,48,2,1,1,1
3757744157,777243,4375.0,8,False,47,329,5,3,3,30,547,723,48,2,1,1,1
3757744157,777243,4375.0,8,False,47,329,5,3,3,20,547,723,48,2,1,1,1
3757743948,1681,6875.0,5,False,47,26799,5,4,3,30,14985,6937,48,2,1,1,1
3757743948,1681,6875.0,5,False,47,26799,5,4,3,20,14985,6937,48,2,1,1,1
3757742963,48915,8958.333333333334,0,False,47,67,5,4,3,30,557,2503,48,2,1,1,1
3757742875,48915,6458.333333333333,1,False,47,67,5,3,3,30,17091,2503,48,2,1,1,1
