id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3694112397,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694112405,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694112396,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694111576,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694113352,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694113357,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694114264,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694114267,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694109981,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3693068950,13333.0,5000.0,0.0,0.0,47.0,319.0,5,4,3,30,20,23,9207,5156,51,0,1,0,0,0,0,0,1,1,1
3694115040,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694115044,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694115060,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694115064,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3749350681,5815.0,7500.0,0.0,0.0,47.0,5236.0,5,2,1,12,19,34,14804,5907,51,0,1,0,0,0,0,0,1,1,1
3694116036,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694116043,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
