id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3693073452,1518461.0,8541.666666666666,2.0,0.0,47.0,21.0,5,4,3,30,20,36,17131,7027,51,0,1,0,0,0,0,0,1,1,1
3756104850,86041588.0,7500.0,0.0,0.0,47.0,832.0,5,4,1,30,36,36,16876,8739,51,0,1,0,0,0,0,0,1,1,1
3693583732,3743.0,5808.0,1.0,0.0,47.0,17859.0,2,4,1,28,36,36,4468,7315,51,0,0,0,0,1,0,0,1,1,1
3757715665,5507.0,10446.666666666666,0.0,0.0,47.0,8996.0,5,4,1,30,20,36,6831,2374,51,0,1,0,0,0,0,0,1,1,1
3755579889,556602.0,8750.0,6.0,1.0,47.0,69.0,5,4,1,30,20,29,586,8076,51,0,1,0,0,0,0,0,1,1,1
3757480507,43325.0,11433.84,5.0,1.0,47.0,799.0,2,4,2,30,20,36,15268,8211,51,1,0,0,0,0,0,0,1,1,1
3693583730,3743.0,4504.166666666667,0.0,0.0,47.0,17859.0,5,4,1,30,20,36,18944,7315,51,0,1,0,0,0,0,0,1,1,1
3701321421,77601.0,7500.0,3.0,0.0,47.0,72.0,2,4,3,29,34,36,3992,8808,51,1,0,0,0,0,0,0,1,1,1
3756109153,90869.0,9375.0,0.0,0.0,47.0,15.0,5,4,2,30,25,5,4018,4096,51,0,1,0,0,0,0,0,1,1,1
3757452111,4983.0,7500.0,1.0,0.0,47.0,12574.0,5,4,1,30,35,17,1591,8848,51,0,1,0,0,0,0,0,1,1,1
3756101757,90869.0,7500.0,3.0,0.0,47.0,15.0,2,3,3,25,30,20,12003,4096,51,0,0,0,0,1,0,0,1,1,1
3697397424,18401.0,5192.0,0.0,0.0,47.0,2125.0,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3694113352,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3749350681,5815.0,7500.0,0.0,0.0,47.0,5236.0,5,2,1,12,19,34,14804,5907,51,0,1,0,0,0,0,0,1,1,1
3755593413,67555.0,7500.0,0.0,0.0,47.0,1881.0,5,4,1,30,20,36,18985,1727,51,0,1,0,0,0,0,0,1,1,1
