id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3699405318,377671,7500.0,0,False,47,1746,5,4,1,30,20,36,1832,699,51,0,1,0,0,0,0,0,1,1,1
2148434033,1082195,5416.666666666667,0,False,47,96,5,3,1,13,36,36,3979,3129,51,1,0,0,0,0,0,0,1,1,1
3755589787,2619961,11297.791666666666,5,False,47,9549,5,4,1,20,30,36,18687,412,51,0,1,0,0,0,0,0,1,1,1
3756107350,86041588,7500.0,1,False,47,832,2,4,1,30,36,36,16021,8739,51,1,0,0,0,0,0,0,1,1,1
3701318981,82572803,4400.0,12,True,47,2,2,4,3,30,20,36,12064,8765,51,0,0,0,0,1,0,0,1,1,1
3631816582,5776281,7500.0,0,False,47,23,5,4,3,30,20,36,17131,3644,51,0,1,0,0,0,0,0,1,1,1
3693586956,22310425,7500.0,4,False,47,6,5,4,3,30,20,36,18261,8039,51,0,1,0,0,0,0,0,1,1,1
3693597760,203204,11875.0,0,False,47,107,5,4,3,30,22,20,18949,6936,51,0,1,0,0,0,0,0,1,1,1
3755592317,55544276,4928.0,1,False,47,8,2,4,3,30,36,36,9323,5877,51,0,1,0,0,0,0,0,1,1,1
3749348717,5815,7500.0,0,False,47,5236,5,4,1,27,34,36,18957,5907,51,0,1,0,0,0,0,0,1,1,1
3748840304,18212428,10416.666666666666,0,False,47,17,5,6,3,25,10,30,14145,2200,51,0,1,0,0,0,0,0,1,1,1
3693051109,52462678,2112.0,0,False,47,9,2,4,3,17,18,36,2541,8965,51,0,0,1,0,0,0,0,1,1,1
3756799726,10616113,7500.0,0,True,47,166,5,4,3,30,20,36,16359,7081,51,0,1,0,0,0,0,0,1,1,1
3757745854,248184,7708.333333333333,2,False,47,763,5,3,3,30,36,36,16021,2346,51,0,1,0,0,0,0,0,1,1,1
3699087357,10593599,7250.0,12,True,47,85,5,4,3,30,20,36,4090,9288,51,0,1,0,0,0,0,0,1,1,1
3701329061,65882129,7500.0,1,False,47,5,5,4,3,16,21,36,15496,9211,51,0,1,0,0,0,0,0,1,1,1
3701198896,91599916,7500.0,5,False,47,3,5,6,2,30,20,36,10258,7687,51,0,1,0,0,0,0,0,1,1,1
3757483248,72298250,8541.666666666666,0,False,47,2,5,4,3,30,20,36,18233,3215,1,0,1,0,0,0,0,0,1,1,1
3679058652,3743,6500.0,12,False,47,17859,5,4,1,30,20,36,8746,7315,51,0,1,0,0,0,0,0,1,1,1
3757449355,98497735,7500.0,0,False,47,1,5,4,3,20,21,30,20341,4034,51,0,1,0,0,0,0,0,1,1,1
3697337922,35594754,6875.0,6,False,47,54,5,4,3,30,20,36,16021,270,51,0,1,0,0,0,0,0,1,1,1
3693053125,6994834,7500.0,12,False,47,7226,2,3,3,10,36,36,2770,3172,51,1,0,0,0,0,0,0,1,1,1
3701365184,5507,7500.0,9,False,47,8996,5,4,1,12,19,34,16147,2374,51,0,1,0,0,0,0,0,1,1,1
3756113757,5235,6041.666666666667,1,False,47,12986,5,2,3,30,36,36,6917,5053,51,0,1,0,0,0,0,0,1,1,1
3693069882,64883733,6458.333333333333,12,False,47,0,5,3,2,26,21,36,4346,6320,51,0,1,0,0,0,0,0,1,1,1
3693068692,18164646,10416.666666666666,7,True,47,41,5,4,3,30,20,36,18949,1582,51,0,1,0,0,0,0,0,1,1,1
3693056081,89866895,3696.0,1,False,47,3,2,2,3,21,26,11,5,3632,51,0,1,0,0,0,0,0,1,1,1
3757486249,15862365,8958.333333333334,8,False,47,7,5,4,3,29,30,36,286,6542,51,0,1,0,0,0,0,0,1,1,1
3749348112,29012947,14791.666666666664,6,False,47,10123,5,5,3,30,20,24,20332,2203,51,0,1,0,0,0,0,0,1,1,1
3697380604,111283,7500.0,0,False,47,150,2,1,1,30,20,36,582,1329,51,0,0,1,0,0,0,0,1,1,1
3684441939,9260752,7500.0,0,False,47,173,5,2,3,30,36,36,13529,9193,51,0,1,0,0,0,0,0,1,1,1
3749349578,77723613,14791.666666666664,4,False,47,1,5,4,3,30,20,36,6820,6540,51,0,1,0,0,0,0,0,1,1,1
3755579977,4872007,9583.333333333334,6,False,47,144,5,4,3,30,20,36,16021,853,51,0,1,0,0,0,0,0,1,1,1
3749350319,2714914,7500.0,0,False,47,103,5,4,3,30,20,36,7275,1029,51,0,1,0,0,0,0,0,1,1,1
3690611859,81535497,7500.0,2,False,47,139,5,4,3,14,36,36,18940,4785,51,0,1,0,0,0,0,0,1,1,1
3701317479,6449564,7500.0,7,False,47,296,5,4,3,30,20,36,1240,5114,51,0,1,0,0,0,0,0,1,1,1
3757909739,2908367,5833.333333333333,0,False,47,1849,5,4,1,30,20,36,18975,10315,51,0,1,0,0,0,0,0,1,1,1
3693054085,10593599,11250.0,3,False,47,85,5,6,3,30,20,17,4018,9288,51,0,1,0,0,0,0,0,1,1,1
3757700569,64923472,7500.0,11,False,47,1,5,4,3,30,20,19,6843,8291,51,0,1,0,0,0,0,0,1,1,1
3693052508,98051823,4500.0,3,False,47,2,5,4,3,30,20,5,2294,847,51,0,1,0,0,0,0,0,1,1,1
3693073612,1518461,11666.666666666666,6,True,47,21,5,6,3,30,20,36,18949,7027,51,0,1,0,0,0,0,0,1,1,1
3699087572,27196254,1760.0,12,True,47,122,2,4,3,30,20,34,586,6990,51,0,1,0,0,0,0,0,1,1,1
3697382821,86041588,7500.0,12,True,47,832,2,2,1,30,36,36,4001,8739,51,1,0,0,0,0,0,0,1,1,1
3749346750,52176410,7500.0,3,False,47,27,5,3,3,30,20,36,17078,8752,51,0,1,0,0,0,0,0,1,1,1
3699086655,76948210,7500.0,12,True,47,24,5,4,3,30,20,36,4018,3268,51,0,1,0,0,0,0,0,1,1,1
3757468594,88652973,5500.0,12,True,47,1,2,3,3,20,30,36,554,4043,51,0,0,0,0,1,0,0,1,1,1
3699059522,18754113,10833.333333333334,12,False,47,17,5,4,3,30,20,36,19942,9010,51,0,1,0,0,0,0,0,1,1,1
3757459104,83974017,3960.0,3,False,47,4,2,3,3,30,36,36,639,8290,51,0,1,0,0,0,0,0,1,1,1
3749343858,6575603,7500.0,0,True,47,117,2,4,3,10,36,36,5005,1601,51,1,0,0,0,0,0,0,1,1,1
3757755445,76795474,9583.333333333334,1,False,47,7,5,4,3,30,36,36,18930,3482,51,0,1,0,0,0,0,0,1,1,1
3701199847,10855258,7500.0,2,False,47,90,5,6,3,30,20,23,586,9346,51,0,1,0,0,0,0,0,1,1,1
3701308159,71346710,7500.0,12,True,47,126,5,4,3,30,23,36,4094,6963,51,0,1,0,0,0,0,0,1,1,1
3693049632,2762306,7083.333333333333,5,False,47,6,5,4,3,30,36,36,16021,4430,51,0,1,0,0,0,0,0,1,1,1
3757487722,1215629,11458.333333333334,0,False,47,490,5,3,3,30,36,36,554,842,51,0,1,0,0,0,0,0,1,1,1
3701159341,2396310,12916.666666666666,12,False,47,8089,5,4,3,2,30,22,15284,7358,51,0,1,0,0,0,0,0,1,1,1
3693046149,34748771,7500.0,0,True,47,1,2,4,3,30,20,36,2296,9306,51,1,0,0,0,0,0,0,1,1,1
3693585745,13051794,7500.0,0,False,47,12,5,4,3,30,20,36,17142,4916,51,0,1,0,0,0,0,0,1,1,1
3754514628,51586112,7500.0,0,False,47,5,5,4,3,30,36,36,17134,8624,51,0,1,0,0,0,0,0,1,1,1
3754501604,2432,7500.0,0,False,47,13783,5,3,1,29,36,36,18937,3766,51,0,1,0,0,0,0,0,1,1,1
3755586711,6646428,8541.666666666666,0,False,47,45,5,4,3,30,20,36,1842,8729,51,0,1,0,0,0,0,0,1,1,1
3757452112,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3690494629,18801226,7500.0,12,False,47,75,5,4,3,30,20,36,18261,952,51,0,1,0,0,0,0,0,1,1,1
3694102854,11229,7500.0,2,False,47,4871,5,4,2,30,36,36,18343,9673,51,0,1,0,0,0,0,0,1,1,1
3757737809,12986319,7500.0,0,False,47,3,5,4,3,30,20,36,586,6917,51,0,1,0,0,0,0,0,1,1,1
3690614159,7291754,3333.333333333333,12,False,47,16,5,4,3,30,20,36,7167,3715,51,0,1,0,0,0,0,0,1,1,1
3693031616,1044,7500.0,1,True,47,25512,5,4,1,30,20,36,6462,7176,20,0,1,0,0,0,0,0,1,1,1
3755593235,11259124,3432.0,1,False,47,29,2,2,3,30,20,28,2296,4679,51,0,1,0,0,0,0,0,1,1,1
3757484616,6994834,7500.0,2,True,47,7226,5,4,1,23,24,36,2763,3172,51,0,1,0,0,0,0,0,1,1,1
3749357184,1286891,7500.0,0,False,47,705,2,4,1,30,20,36,554,9892,51,1,0,0,0,0,0,0,1,1,1
3755592415,67555,7500.0,0,False,47,1881,5,4,1,30,20,36,16022,1727,51,0,1,0,0,0,0,0,1,1,1
3693050579,16198955,7500.0,0,False,47,306,2,3,3,30,35,26,12739,386,51,1,0,0,0,0,0,0,1,1,1
3755588389,14648088,7500.0,1,True,47,186,5,4,3,30,20,36,17140,1264,51,0,1,0,0,0,0,0,1,1,1
3755594163,100027377,7500.0,1,False,47,2,5,4,3,30,20,36,7252,7379,51,0,1,0,0,0,0,0,1,1,1
3757449077,2166352,7500.0,0,False,47,62,5,4,3,30,20,36,17131,9734,51,0,1,0,0,0,0,0,1,1,1
3701318985,777243,7500.0,12,False,47,329,5,3,3,20,19,26,3339,788,51,0,1,0,0,0,0,0,1,1,1
3748847808,11229,7500.0,1,False,47,4871,5,2,2,30,20,36,13529,9673,51,0,1,0,0,0,0,0,1,1,1
3693051855,3757480,8020.833333333333,12,True,47,248,5,4,3,30,20,23,10040,330,1,0,1,0,0,0,0,0,1,1,1
3755579889,556602,8750.0,6,True,47,69,5,4,1,30,20,29,586,8076,51,0,1,0,0,0,0,0,1,1,1
3699408206,8795,7500.0,0,False,47,4075,2,1,1,20,21,36,20195,6950,51,0,0,0,0,0,0,0,1,1,1
3757487603,5403271,3696.0,0,False,47,62,2,3,3,30,36,36,2208,3144,51,0,1,0,0,0,0,0,1,1,1
3693588088,1286891,7500.0,0,False,47,705,5,4,1,30,20,36,16617,9892,51,0,1,0,0,0,0,0,1,1,1
3757468744,0,4791.666666666667,3,False,47,0,5,3,2,30,20,36,624,9593,53,0,1,0,0,0,0,0,1,1,1
3694119622,9236263,7500.0,0,False,47,14,5,6,3,30,20,36,4018,5480,10,0,1,0,0,0,0,0,1,1,1
3701303235,93116251,10833.333333333334,1,False,47,3,5,4,3,30,36,36,18949,4781,51,0,1,0,0,0,0,0,1,1,1
3693050303,5508849,7500.0,4,False,47,7,5,4,3,30,20,36,560,3393,51,0,1,0,0,0,0,0,1,1,1
3693584762,14632005,7500.0,8,False,47,365,2,4,3,15,36,36,15298,4567,51,1,0,0,0,0,0,0,1,1,1
3701317207,9499963,7500.0,11,False,47,4,5,4,2,35,36,36,697,6106,51,0,1,0,0,0,0,0,1,1,1
3697354888,1098181,7500.0,1,False,47,71,5,2,1,30,20,36,2021,4895,51,0,1,0,0,0,0,0,1,1,1
