id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757940104,553718.0,5250.0,0.0,0.0,17.0,1171.0,4,2,1,28,0,0,7902,47,4069,51,0,1,0,0,0,0,0,1,1
3757940025,2192142.0,7085.416666666666,0.0,0.0,135.0,300.0,5,4,1,23,24,0,17409,37,5744,51,0,1,0,0,0,0,0,1,1
3757938019,474443.0,6776.0,0.0,0.0,147.0,314.0,5,4,1,27,0,0,10184,6,9391,51,0,1,0,0,0,0,0,1,1
3757938018,18213359.0,3919.52,0.0,0.0,100.0,36.0,2,2,1,23,24,0,4043,52,3044,51,0,1,0,0,0,0,0,1,1
3757937095,437225.0,14791.666666666664,0.0,1.0,27.0,1260.0,5,4,1,34,0,0,12807,61,10336,51,0,1,0,0,0,0,0,1,1
3757937095,437225.0,14791.666666666664,0.0,1.0,25.0,1260.0,5,4,1,34,0,0,12807,46,10336,51,0,1,0,0,0,0,0,1,1
3757937095,437225.0,14791.666666666664,0.0,1.0,6.0,1260.0,5,4,1,34,0,0,12807,66,10336,51,0,1,0,0,0,0,0,1,1
3757937037,13727.0,7708.333333333333,0.0,1.0,17.0,5394.0,5,4,1,21,22,0,19310,47,10208,51,0,1,0,0,0,0,0,1,1
3757936167,2915.0,3647.6,0.0,0.0,27.0,4039.0,2,4,1,21,22,0,300,61,287,51,0,1,0,0,0,0,0,1,1
3757936097,18213359.0,3396.8,0.0,0.0,100.0,36.0,2,2,1,23,24,0,5489,52,3044,51,0,1,0,0,0,0,0,1,1
3757936026,634806.0,7500.0,12.0,1.0,104.0,23.0,2,2,2,7,0,0,8610,65,7763,51,1,0,0,0,0,0,0,1,1
3757935111,2073870.0,9166.666666666666,0.0,1.0,96.0,20277.0,5,6,1,34,0,0,4713,35,681,51,0,1,0,0,0,0,0,1,1
3757935026,16223627.0,6778.64,0.0,0.0,14.0,26.0,2,2,1,31,0,0,11259,33,325,51,1,0,0,0,0,0,0,1,1
3757935025,99500291.0,5104.0,0.0,0.0,16.0,1.0,2,4,1,31,0,0,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757935012,18583501.0,10864.583333333334,12.5,0.0,4.0,16736.0,5,3,3,34,0,0,13830,64,8417,51,0,1,0,0,0,0,0,1,1
3757935011,82556159.0,4750.0,0.0,1.0,31.0,3.0,5,2,1,21,22,0,14759,32,5966,51,0,1,0,0,0,0,0,1,1
3757935010,82556159.0,4750.0,0.0,1.0,31.0,3.0,5,2,1,21,22,0,14759,32,5966,51,0,1,0,0,0,0,0,1,1
3757935003,18583501.0,7708.333333333333,0.0,0.0,17.0,16736.0,5,4,3,21,22,0,3970,47,8417,51,0,1,0,0,0,0,0,1,1
3757935001,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757934630,36749.0,3647.6,0.0,0.0,27.0,3947.0,2,4,1,21,26,0,18456,61,9222,51,0,1,0,0,0,0,0,1,1
3757934539,2192142.0,7085.416666666666,8.0,0.0,135.0,300.0,5,4,1,23,24,0,20372,37,5744,51,0,1,0,0,0,0,0,1,1
3757934423,18213359.0,3396.8,0.0,0.0,100.0,36.0,2,2,1,23,24,0,4275,52,3044,51,0,1,0,0,0,0,0,1,1
3757934327,99500291.0,5104.0,0.0,0.0,16.0,1.0,2,4,1,31,0,0,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757934320,1997035.0,10864.583333333334,0.0,1.0,4.0,60.0,2,4,1,12,19,34,2449,64,6022,51,1,0,0,0,0,0,0,1,1
3757934319,18391435.0,11291.666666666666,1.0,0.0,135.0,2.0,5,4,1,27,34,0,4029,37,10320,51,0,1,0,0,0,0,0,1,1
3757934318,6577380.0,4576.0,0.0,0.0,92.0,48.0,2,4,1,23,24,0,2679,70,2199,51,0,1,0,0,0,0,0,1,1
3757934312,18583501.0,7708.333333333333,0.0,0.0,17.0,16736.0,5,3,3,21,22,0,16774,47,8417,51,0,1,0,0,0,0,0,1,1
3757934299,213591.0,7920.0,0.0,0.0,80.0,51.0,5,6,1,32,33,34,680,2,9063,51,0,1,0,0,0,0,0,1,1
3757934287,91313799.0,10864.583333333334,1.0,0.0,4.0,863.0,5,4,3,27,0,0,9262,64,8415,51,0,1,0,0,0,0,0,1,1
3757934282,91313799.0,10864.583333333334,1.0,0.0,4.0,863.0,5,4,3,27,0,0,9375,64,8415,51,0,1,0,0,0,0,0,1,1
3757934281,2238.0,9958.333333333334,0.0,0.0,23.0,25512.5,5,4,2,5,25,23,16664,28,2522,19,0,1,0,0,0,0,0,1,1
3757934281,2238.0,9958.333333333334,0.0,0.0,47.0,25512.5,5,4,2,5,25,23,16664,1,2522,19,0,1,0,0,0,0,0,1,1
3757934267,28352.0,7916.666666666667,0.0,0.0,133.0,4499.0,5,2,1,23,24,0,2669,74,2282,51,0,1,0,0,0,0,0,1,1
3757934264,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757934256,213591.0,7920.0,0.0,0.0,80.0,51.0,5,6,1,32,33,34,681,2,9063,51,0,1,0,0,0,0,0,1,1
3757934178,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757934003,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757933524,37261405.0,6778.64,1.0,0.0,14.0,20.0,2,2,3,31,0,0,17771,33,5624,51,0,0,0,1,0,0,0,1,1
3757933458,99500291.0,5104.0,0.0,0.0,16.0,1.0,2,4,1,31,0,0,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757933450,6577380.0,7500.0,0.0,0.0,112.0,48.0,5,4,1,23,24,0,2907,4,2199,51,0,1,0,0,0,0,0,1,1
3757933435,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757933320,213591.0,5625.0,0.0,0.0,80.0,51.0,5,6,1,16,3,6,20793,2,9063,51,0,1,0,0,0,0,0,1,1
3757933252,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932930,2073870.0,9166.666666666666,3.0,1.0,96.0,20277.0,5,6,1,28,0,0,5362,35,681,51,0,1,0,0,0,0,0,1,1
3757932856,166572.0,3647.6,0.0,0.0,27.0,25512.5,2,2,1,23,24,0,15862,61,9470,51,0,1,0,0,0,0,0,1,1
3757932828,0.0,7810.833333333334,2.0,0.0,15.0,0.0,5,4,3,14,0,0,6685,55,9593,53,0,1,0,0,0,0,0,1,1
3757932826,99500291.0,5104.0,0.0,0.0,16.0,1.0,2,4,1,31,0,0,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757932813,6577380.0,3432.0,0.0,0.0,112.0,48.0,2,4,1,23,24,0,6875,4,2199,51,0,1,0,0,0,0,0,1,1
3757932805,18583501.0,7708.333333333333,4.0,0.0,17.0,16736.0,5,3,3,21,22,0,13770,47,8417,51,0,1,0,0,0,0,0,1,1
3757932799,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932775,79098833.0,6778.64,0.0,0.0,14.0,3.0,5,2,3,31,0,0,9339,33,9779,51,0,1,0,0,0,0,0,1,1
3757932761,91313799.0,7083.333333333333,0.0,0.0,124.0,863.0,5,4,3,35,0,0,1988,73,8415,51,0,1,0,0,0,0,0,1,1
3757932742,79098833.0,8169.92,0.0,0.0,11.0,3.0,5,4,3,27,0,0,18550,12,9779,51,0,1,0,0,0,0,0,1,1
3757932736,73013724.0,14791.666666666664,2.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932732,100254113.0,7500.0,1.0,0.0,112.0,0.0,5,4,3,21,22,0,15573,4,8549,51,0,1,0,0,0,0,0,1,1
3757932726,1815218.0,3256.0,0.0,0.0,1285.0,25512.5,2,4,1,23,24,0,17910,40,9464,51,0,1,0,0,0,0,0,1,1
3757932725,1815218.0,3256.0,1.0,0.0,1285.0,25512.5,2,4,1,23,24,0,17910,40,9464,51,0,1,0,0,0,0,0,1,1
3757932471,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932015,73013724.0,14791.666666666664,3.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931926,9596847.0,11118.8,0.0,0.0,34.0,5680.0,2,4,1,31,0,0,18315,29,9657,51,0,1,0,0,0,0,0,1,1
3757931895,2073870.0,9166.666666666666,0.0,0.0,96.0,20277.0,5,4,1,23,24,0,18528,35,681,51,0,1,0,0,0,0,0,1,1
3757931831,12961970.0,6250.0,0.0,0.0,44.0,56.0,5,4,3,23,24,0,5837,57,1064,51,0,1,0,0,0,0,0,1,1
3757931806,99500291.0,5104.0,0.0,0.0,16.0,1.0,2,4,1,31,0,0,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757931799,31430327.0,6778.64,0.0,0.0,14.0,13.0,2,3,1,31,0,0,5745,33,5415,51,1,0,0,0,0,0,0,1,1
3757931795,16223627.0,6778.64,0.0,0.0,14.0,26.0,2,2,1,31,0,0,6598,33,325,51,1,0,0,0,0,0,0,1,1
3757931788,6464.0,3333.333333333333,0.0,0.0,68.0,11624.0,5,4,1,30,20,0,767,31,9574,51,0,1,0,0,0,0,0,1,1
3757931787,6464.0,5750.0,0.0,0.0,68.0,11624.0,5,2,1,31,0,0,3371,31,9574,51,0,1,0,0,0,0,0,1,1
3757931783,0.0,7810.833333333334,0.0,0.0,15.0,0.0,5,4,3,14,0,0,16935,55,9593,53,0,1,0,0,0,0,0,1,1
3757931774,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931773,0.0,7810.833333333334,0.0,0.0,15.0,0.0,5,4,3,14,0,0,12393,55,9593,53,0,1,0,0,0,0,0,1,1
3757931759,73013724.0,14791.666666666664,1.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931749,91313799.0,10864.583333333334,3.0,0.0,4.0,863.0,5,4,3,27,0,0,9306,64,8415,51,0,1,0,0,0,0,0,1,1
3757931739,91313799.0,7708.333333333333,1.0,0.0,17.0,863.0,5,3,3,27,34,0,14074,47,8415,51,0,1,0,0,0,0,0,1,1
3757931738,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931735,79098833.0,8169.92,4.0,0.0,11.0,3.0,5,4,3,23,0,0,17112,12,9779,51,0,1,0,0,0,0,0,1,1
3757931730,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931721,73013724.0,14791.666666666664,2.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931720,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931640,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931639,73013724.0,14791.666666666664,1.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931596,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930935,1102373.0,3647.6,0.0,0.0,27.0,345.0,2,2,1,28,0,0,1312,61,7166,51,0,1,0,0,0,0,0,1,1
3757930923,0.0,7810.833333333334,0.0,0.0,15.0,0.0,5,4,3,14,0,0,17170,55,9593,53,0,1,0,0,0,0,0,1,1
3757930917,1312785.0,5750.0,3.0,0.0,68.0,1253.0,5,2,1,12,19,34,14818,31,9430,51,0,1,0,0,0,0,0,1,1
3757930914,11357247.0,5412.88,0.0,0.0,104.0,64.0,2,2,1,12,19,34,170,65,6327,51,0,0,0,0,1,0,0,1,1
3757930912,3743123.0,5984.0,0.0,0.0,14.0,70.0,2,2,1,31,0,0,14348,33,7263,51,0,0,0,0,1,0,0,1,1
3757930908,82556159.0,4750.0,0.0,1.0,31.0,3.0,5,2,1,21,22,0,14759,32,5966,51,0,1,0,0,0,0,0,1,1
3757930887,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930886,91313799.0,10864.583333333334,1.0,0.0,4.0,863.0,5,4,3,27,0,0,9234,64,8415,51,0,1,0,0,0,0,0,1,1
3757930873,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930868,79098833.0,8333.333333333334,3.0,0.0,50.0,3.0,5,4,3,35,0,0,3861,5,9779,51,0,1,0,0,0,0,0,1,1
3757930863,78708714.0,7810.833333333334,4.0,0.0,15.0,39.0,5,6,3,31,0,0,10678,55,1159,51,0,1,0,0,0,0,0,1,1
3757930863,78708714.0,8125.0,4.0,0.0,12.0,39.0,5,6,3,31,0,0,10678,9,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714.0,12083.333333333334,2.0,0.0,124.0,39.0,5,4,3,31,0,0,8358,73,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714.0,12083.333333333334,2.0,0.0,14.0,39.0,5,4,3,31,0,0,8358,33,1159,51,0,1,0,0,0,0,0,1,1
3757930799,78708714.0,12083.333333333334,2.0,0.0,139.0,39.0,5,4,3,31,0,0,8358,49,1159,51,0,1,0,0,0,0,0,1,1
3757930215,73013724.0,14791.666666666664,1.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757930108,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929978,3603539.0,6250.0,0.0,0.0,44.0,193.0,5,2,1,23,24,0,9988,57,7594,51,0,1,0,0,0,0,0,1,1
3757929967,6577380.0,4928.0,0.0,0.0,92.0,48.0,2,2,1,23,24,0,2678,70,2199,51,0,1,0,0,0,0,0,1,1
3757929959,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929946,79098833.0,5753.84,1.0,0.0,139.0,3.0,5,4,3,31,0,0,10810,49,9779,51,0,1,0,0,0,0,0,1,1
3757929925,91313799.0,10864.583333333334,1.0,0.0,4.0,863.0,5,4,3,30,24,23,5816,64,8415,51,0,1,0,0,0,0,0,1,1
3757929921,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929899,2238.0,9958.333333333334,0.0,0.0,23.0,25512.5,5,4,2,15,23,1,16184,28,2522,19,0,1,0,0,0,0,0,1,1
3757929899,2238.0,9958.333333333334,0.0,0.0,47.0,25512.5,5,4,2,15,23,1,16184,1,2522,19,0,1,0,0,0,0,0,1,1
3757929797,73013724.0,14791.666666666664,0.0,1.0,43.0,358.0,5,4,3,21,22,0,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757929719,2238.0,7291.666666666667,5.0,0.0,23.0,25512.5,5,4,2,8,25,3,10218,28,2522,19,0,1,0,0,0,0,0,1,1
3757929719,2238.0,7291.666666666667,5.0,0.0,47.0,25512.5,5,4,2,8,25,3,10218,1,2522,19,0,1,0,0,0,0,0,1,1
