id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757715665,5507.0,10446.666666666666,0.0,0.0,47.0,8996.0,5,4,1,30,20,0,6831,2374,51,0,1,0,0,0,0,0,1,1,1
3701302242,7684.0,7500.0,8.0,0.0,47.0,20835.0,5,4,3,30,20,0,10054,7743,51,0,1,0,0,0,0,0,1,1,1
3701318981,82572803.0,4400.0,12.5,1.0,47.0,2.0,2,4,3,30,20,0,12064,8765,51,0,0,0,0,1,0,0,1,1,1
3757748481,248184.0,6041.666666666667,2.0,0.0,47.0,763.0,5,3,3,30,0,0,18261,2346,51,0,1,0,0,0,0,0,1,1,1
3699402962,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,2,1,20,21,0,20642,6950,51,0,1,0,0,0,0,0,1,1,1
3693052508,98051823.0,4500.0,3.0,0.0,47.0,2.0,5,4,3,30,20,5,2294,847,51,0,1,0,0,0,0,0,1,1,1
3693590179,24408.0,7500.0,5.0,0.0,47.0,905.0,5,2,3,30,0,0,6,2789,51,0,1,0,0,0,0,0,1,1,1
3749375410,2859.0,7500.0,1.0,0.0,47.0,10657.0,5,4,1,20,30,0,16665,966,51,0,1,0,0,0,0,0,1,1,1
3697377872,2432.0,7500.0,0.0,0.0,47.0,13783.0,5,3,1,29,0,0,1823,3766,51,0,1,0,0,0,0,0,1,1,1
3699402962,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,2,1,20,21,0,20642,6950,51,0,1,0,0,0,0,0,1,1,1
3701318985,777243.0,7500.0,12.5,0.0,47.0,329.0,5,3,3,20,19,26,3339,788,51,0,1,0,0,0,0,0,1,1,1
3701362655,5507.0,7683.166666666667,4.0,1.0,47.0,8996.0,5,4,1,30,20,0,1820,2374,51,0,1,0,0,0,0,0,1,1,1
3756111905,232394.0,8125.0,2.0,1.0,47.0,86.0,5,4,2,30,20,19,17134,1353,20,0,1,0,0,0,0,0,1,1,1
2148434033,1082195.0,5416.666666666667,0.0,0.0,47.0,96.0,5,3,1,13,0,0,3979,3129,51,1,0,0,0,0,0,0,1,1,1
3755583426,1917473.0,7500.0,3.0,0.0,47.0,67.0,2,2,3,35,30,10,11406,5996,51,0,0,0,0,1,0,0,1,1,1
3756116113,90869.0,10416.666666666666,0.0,0.0,47.0,15.0,5,4,3,30,20,19,17139,4096,51,0,1,0,0,0,0,0,1,1,1
3756104850,86041588.0,7500.0,0.0,0.0,47.0,832.0,5,4,1,30,0,0,16876,8739,51,0,1,0,0,0,0,0,1,1,1
3697377872,2432.0,7500.0,0.0,0.0,47.0,13783.0,5,3,1,29,0,0,1823,3766,51,0,1,0,0,0,0,0,1,1,1
3749346644,427460.0,7500.0,0.0,0.0,47.0,54.0,5,4,2,30,20,0,4018,8953,51,0,1,0,0,0,0,0,1,1,1
3701317396,101459.0,8125.0,2.0,0.0,47.0,18.0,5,4,3,30,20,0,2479,2544,51,0,1,0,0,0,0,0,1,1,1
3757453032,777243.0,7500.0,0.0,0.0,47.0,329.0,5,3,3,30,0,0,17137,788,51,0,1,0,0,0,0,0,1,1,1
3757727686,33274.0,7500.0,0.0,0.0,47.0,448.0,5,4,1,28,0,0,16613,1132,51,0,1,0,0,0,0,0,1,1,1
3697387273,86041588.0,5208.333333333333,5.0,0.0,47.0,832.0,5,2,1,30,0,0,2218,8739,51,0,1,0,0,0,0,0,1,1,1
3757747549,248184.0,7083.333333333333,0.0,0.0,47.0,763.0,5,3,3,30,0,0,16021,2346,51,0,1,0,0,0,0,0,1,1,1
3755593413,67555.0,7500.0,0.0,0.0,47.0,1881.0,5,4,1,30,20,0,18985,1727,51,0,1,0,0,0,0,0,1,1,1
3694102843,5235.0,5208.333333333333,0.0,0.0,47.0,12986.0,5,3,3,20,30,0,18294,5053,51,0,1,0,0,0,0,0,1,1,1
3757451004,777243.0,7500.0,2.0,0.0,47.0,329.0,5,6,3,30,20,0,1824,788,51,0,1,0,0,0,0,0,1,1,1
3699404810,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,1,1,12,19,34,8822,6950,51,0,1,0,0,0,0,0,1,1,1
3755577470,4872007.0,14791.666666666664,0.0,0.0,47.0,144.0,5,4,3,30,20,0,18942,853,51,0,1,0,0,0,0,0,1,1,1
3697397466,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,0,1848,1876,51,0,1,0,0,0,0,0,1,1,1
3698000211,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,0,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3697398595,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,0,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3697377875,2432.0,6679.200000000001,1.0,0.0,47.0,13783.0,2,1,1,30,20,0,1828,3766,51,0,1,0,0,0,0,0,1,1,1
3694116036,1038.0,7500.0,0.0,0.0,47.0,25512.5,5,4,1,34,0,0,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3757475882,1633447.0,8125.0,2.0,0.0,47.0,16.0,5,4,3,30,20,19,16028,6204,51,0,1,0,0,0,0,0,1,1,1
3697364520,1056303.0,7500.0,12.0,0.0,47.0,2008.0,5,3,3,30,0,0,2345,1648,10,0,1,0,0,0,0,0,1,1,1
3699403960,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,2,1,20,21,0,6785,6950,51,0,1,0,0,0,0,0,1,1,1
3755594163,100027377.0,7500.0,1.0,0.0,47.0,2.0,5,4,3,30,20,0,7252,7379,51,0,1,0,0,0,0,0,1,1,1
3755573034,9464.0,7500.0,0.0,0.0,47.0,3547.0,5,3,3,30,0,0,554,9118,51,0,1,0,0,0,0,0,1,1,1
3697380587,2432.0,7500.0,3.0,0.0,47.0,13783.0,5,1,1,20,21,0,2694,3766,51,0,1,0,0,0,0,0,1,1,1
3757715400,15228.0,4416.666666666667,3.0,0.0,47.0,2063.0,5,3,3,30,20,19,11014,2462,51,0,1,0,0,0,0,0,1,1,1
3694102316,11229.0,6166.666666666667,3.0,0.0,47.0,4871.0,5,2,2,30,0,0,18268,9673,51,0,1,0,0,0,0,0,1,1,1
3693586603,3743.0,4504.166666666667,0.0,0.0,47.0,17859.0,5,4,1,30,20,0,18944,7315,51,0,1,0,0,0,0,0,1,1,1
3701366370,5507.0,8750.0,7.0,1.0,47.0,8996.0,5,4,1,23,24,0,16746,2374,51,0,1,0,0,0,0,0,1,1,1
3693586603,3743.0,4504.166666666667,0.0,0.0,47.0,17859.0,5,4,1,30,20,0,18944,7315,51,0,1,0,0,0,0,0,1,1,1
3693596617,1332329.0,6666.666666666667,4.0,0.0,47.0,133.0,5,4,3,30,20,0,18262,8635,51,0,1,0,0,0,0,0,1,1,1
3755593413,67555.0,7500.0,0.0,0.0,47.0,1881.0,5,4,1,30,20,0,18985,1727,51,0,1,0,0,0,0,0,1,1,1
3698001200,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,0,1848,1876,51,0,1,0,0,0,0,0,1,1,1
3701304956,34177.0,12500.0,0.0,0.0,47.0,68.0,5,3,3,30,20,0,18939,3123,51,0,1,0,0,0,0,0,1,1,1
3697399167,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,0,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3631816582,5776281.0,7500.0,0.0,0.0,47.0,23.0,5,4,3,30,20,0,17131,3644,51,0,1,0,0,0,0,0,1,1,1
3699408208,8795.0,7500.0,1.0,0.0,47.0,4075.0,2,1,1,20,21,0,19972,6950,51,0,0,1,0,0,0,0,1,1,1
3755573826,4872007.0,9166.666666666666,2.0,0.0,47.0,144.0,5,4,3,30,20,28,16502,853,51,0,1,0,0,0,0,0,1,1,1
3693046595,232394.0,10416.666666666666,2.0,0.0,47.0,86.0,5,4,3,30,20,0,1766,1353,20,0,1,0,0,0,0,0,1,1,1
3699403839,17246.0,7500.0,0.0,0.0,47.0,173.0,5,4,3,30,20,0,1836,7451,51,0,1,0,0,0,0,0,1,1,1
3701301852,2489101.0,7500.0,0.0,0.0,47.0,3.0,5,5,2,30,0,0,1834,1700,51,0,1,0,0,0,0,0,1,1,1
3701317396,101459.0,8125.0,2.0,0.0,47.0,18.0,5,4,3,30,20,0,2479,2544,51,0,1,0,0,0,0,0,1,1,1
